Event,Name,Age,Weight Class,Last Weight-In,Height,Reach,Born,Current Streak,UFC Competition,First Fight,Last Fight,Fight out of,Wins,Loss,Draws,No Contest
UFC on ESPN+ 12: Moicano vs. Korean Zombie,Ashley Yoder,31,Strawweight,115.5 lbs,"5'7"" (170cm)","66.5"" (169cm)",United States,1 Win,5,2008-02-16,"November 10, 2018","Murrieta, California",9,8,0,0
UFC on ESPN+ 12: Moicano vs. Korean Zombie,"近藤朱里, Kondo Syuri",30,Strawweight,115.5 lbs,"5'4"" (163cm)","66.5"" (169cm)","Ebina, Kanagawa, Japan",2 Losses,4,2009-12-11,"November 24, 2018","Yokohama, Japan",6,2,0,0
UFC on ESPN+ 12: Moicano vs. Korean Zombie,Daniel Ige,27,Featherweight,146.0 lbs,"5'7"" (170cm)","71.0"" (180cm)",United States,3 Wins,5,2011-09-23,"March 16, 2019","Honolulu, Hawaii",18,4,0,0
UFC on ESPN+ 12: Moicano vs. Korean Zombie,Kevin Aguilar,30,Featherweight,145.0 lbs,"5'7"" (171cm)","73.0"" (185cm)","Winnsboro, Texas",9 Wins,3,2008-08-09,"March 30, 2019","Longview, Texas",29,4,0,0
UFC on ESPN+ 12: Moicano vs. Korean Zombie,Matthew Charles Wiman,35,Lightweight,155.4 lbs,"5'10"" (178cm)","67.0"" (170cm)","Denver Colorado, United States",1 Win,16,2004-08-14,"November 22, 2014","Portland, Oregon",16,7,0,0
UFC on ESPN+ 12: Moicano vs. Korean Zombie,Luis Antonio Peña,25,Featherweight,148.5 lbs,"6'3"" (191cm)","78.0"" (198cm)","Naples, Italy",1 Win,4,2014-05-31,"March 23, 2019","Gilroy, California",14,3,0,0
UFC on ESPN+ 12: Moicano vs. Korean Zombie,Allen Crowder,29,Heavyweight,252.6 lbs,"6'2"" (188cm)","76.5"" (194cm)",United States,1 Win,3,2011-11-12,"January 19, 2019","North Carolina, United States",17,4,0,1
UFC on ESPN+ 12: Moicano vs. Korean Zombie,Jairzinho Rozenstruik,31,Heavyweight,241.5 lbs,"6'4"" (193cm)","78.0"" (198cm)","Paramaribo, Suriname",7 Wins,2,2012-05-26,"February 02, 2019","Paramaribo, Suriname",7,0,0,0
UFC on ESPN+ 12: Moicano vs. Korean Zombie,Molly McCann-Pearson,29,Flyweight,126.0 lbs,"5'4"" (163cm)","62.0"" (157cm)","Liverpool, England",1 Win,3,2013-11-09,"March 16, 2019","Bournemouth, England",11,2,0,0
UFC on ESPN+ 12: Moicano vs. Korean Zombie,Ariane Lipski,25,Flyweight,125.2 lbs,"5'6"" (168cm)","67.0"" (170cm)","Curitiba, Parana, Brazil",1 Loss,2,2013-11-03,"January 19, 2019","Curitiba, Parana, Brazil",11,4,0,0
UFC on ESPN+ 12: Moicano vs. Korean Zombie,Deron Winn,30,Light Heavyweight,205.6 lbs,"5'5"" (165cm)","71.0"" (180cm)","Liberty, Missouri",5 Wins,1,2017-03-18,"November 24, 2018","Fresno, California",5,0,0,0
UFC on ESPN+ 12: Moicano vs. Korean Zombie,Eric Spicely,32,Middleweight,186.0 lbs,"6'2"" (188cm)","73.0"" (185cm)","Stoughton, Massachusetts",2 Wins,7,2007-10-26,"March 29, 2019","Olneyville, Rhode Island",14,5,0,0
UFC on ESPN+ 12: Moicano vs. Korean Zombie,Andre Ewell,31,Bantamweight,135.5 lbs,"5'11"" (180cm)","75.0"" (191cm)",United States,1 Loss,3,2015-08-15,"December 29, 2018","Riverside, California",14,5,0,0
UFC on ESPN+ 12: Moicano vs. Korean Zombie,Anderson Berlingeri dos Santos,33,Featherweight,144.5 lbs,"5'7"" (170cm)","70.0"" (178cm)","Sao Paulo, Sao Paulo, Brazil",1 Loss,2,2011-09-14,"November 17, 2018","Sao Paulo, Sao Paulo, Brazil",20,7,0,0
UFC on ESPN 3: N'Gannou vs. Dos Santos,Junior dos Santos Almeida,35,Heavyweight,246.5 lbs,"6'4"" (193cm)","77.0"" (196cm)","Caçador, Santa Catarina, Brazil",3 Wins,20,2006-07-16,"March 09, 2019","Salvador, Bahia, Brazil",21,5,0,0
UFC on ESPN 3: N'Gannou vs. Dos Santos,Francis Zavier N'Gannou,32,Heavyweight,258.0 lbs,"6'4"" (193cm)","83.0"" (211cm)","Batie, Cameroon",2 Wins,11,2013-11-30,"February 17, 2019","Paris, France",13,3,0,0
UFC on ESPN 3: N'Gannou vs. Dos Santos,Jussier da Silva,34,Flyweight,126.0 lbs,"5'5"" (165cm)","67.0"" (170cm)","Natal, Rio Grande do Norte, Brazil",4 Wins,14,2005-05-13,"March 23, 2019","Natal, Rio Grande do Norte, Brazil",23,5,0,0
UFC on ESPN 3: N'Gannou vs. Dos Santos,Joseph Rolando Benavidez,34,Flyweight,124.4 lbs,"5'4"" (163cm)","65.0"" (165cm)","San Antonio, Texas, United States",2 Wins,18,2006-06-03,"January 19, 2019","Sacramento, California",27,5,0,0
UFC on ESPN 3: N'Gannou vs. Dos Santos,Demian A. Baptista Maia,41,Welterweight,170.5 lbs,"6'1"" (185cm)","72.0"" (183cm)","Sao Paulo, Sao Paulo, Brazil",1 Win,30,2001-09-21,"February 02, 2019","Sao Paulo, Sao Paulo, Brazil",26,9,0,0
UFC on ESPN 3: N'Gannou vs. Dos Santos,Anthony Martin,29,Welterweight,170.5 lbs,"6'0"" (183cm)","73.5"" (187cm)","Palos Heights, Illinois, United States",4 Wins,13,2011-05-07,"March 09, 2019","Boston, Massachusetts",18,4,0,0
UFC on ESPN 3: N'Gannou vs. Dos Santos,Vincent Alan Pichel,36,Lightweight,155.8 lbs,"5'10"" (178cm)","72.0"" (183cm)","Lancaster, California",1 Loss,7,2008-09-19,"June 01, 2018","Simi Valley, California",11,3,0,0
UFC on ESPN 3: N'Gannou vs. Dos Santos,Roosevelt Roberts,25,Lightweight,155.0 lbs,"6'1"" (185cm)","73.0"" (185cm)","Miami, Florida",14 Wins,3,2014-04-12,"April 27, 2019","Lathrop, California",14,1,0,0
UFC on ESPN 3: N'Gannou vs. Dos Santos,Andrew Martin Dober,30,Lightweight,156.0 lbs,"5'8"" (173cm)","70.0"" (178cm)",United States,1 Loss,13,2006-09-15,"March 09, 2019","Denver, Colorado",29,9,0,1
UFC on ESPN 3: N'Gannou vs. Dos Santos,Marco Polo Reyes,34,Lightweight,155.0 lbs,"5'11"" (180cm)","71.3"" (181cm)",Mexico,1 Loss,7,2009-06-12,"February 23, 2019","Tepic, Nayarit, Mexico",8,5,0,0
UFC on ESPN 3: N'Gannou vs. Dos Santos,Paul Craig,31,Light Heavyweight,205.0 lbs,"6'4"" (193cm)","76.0"" (193cm)","Airdrie, Scotland",1 Win,7,2012-04-28,"March 30, 2019","Coatbridge, Scotland",12,3,0,0
UFC on ESPN 3: N'Gannou vs. Dos Santos,Alonzo T. Menifield,31,Light Heavyweight,204.6 lbs,"6'1"" (185cm)","76.0"" (193cm)",United States,10 Wins,2,2014-05-09,"January 19, 2019",Texas,10,0,0,0
UFC on ESPN 3: N'Gannou vs. Dos Santos,Ricardo Lucas Ramos,23,Bantamweight,135.5 lbs,"5'9"" (175cm)","72.0"" (183cm)","Campinas, São Paulo, Brazil",1 Loss,5,2012-05-19,"February 02, 2019","Campinas, São Paulo, Brazil",12,2,0,0
UFC on ESPN 3: N'Gannou vs. Dos Santos,Journey Newson,30,Bantamweight,136.0 lbs,"5'5"" (165cm)",N/A,United States,6 Wins,1,2013-01-19,"May 09, 2019",Oregon,11,2,0,0
UFC on ESPN 3: N'Gannou vs. Dos Santos,Vinicius Alves Moreira,30,Light Heavyweight,205.6 lbs,"6'3"" (191cm)","75.5"" (192cm)",Brazil,1 Loss,2,2015-10-11,"January 19, 2019","Brasilia, Federal District, Brazil",9,2,0,0
UFC on ESPN 3: N'Gannou vs. Dos Santos,Eryk Anders,32,Light Heavyweight,205.0 lbs,"6'1"" (185cm)","75.0"" (191cm)","San Antonio, Texas",3 Losses,8,2012-01-28,"April 13, 2019","Birmingham, Alabama",24,7,1,0
UFC on ESPN 3: N'Gannou vs. Dos Santos,Jordan Griffin,29,Featherweight,146.0 lbs,"5'10"" (178cm)","74.5"" (189cm)",United States,1 Loss,2,2009-11-27,"December 15, 2018",Wisconsin,22,8,0,0
UFC on ESPN 3: N'Gannou vs. Dos Santos,Vince Murdock,28,Featherweight,144.6 lbs,"5'6"" (168cm)","65.0"" (165cm)","Lapeer, Michigan",4 Wins,1,2012-11-17,"December 01, 2018","Sacramento, California",12,3,0,1
UFC on ESPN 3: N'Gannou vs. Dos Santos,Jared Gordon,30,Lightweight,156.0 lbs,"5'9"" (175cm)","68.0"" (173cm)",United States,2 Losses,5,2007-09-15,"December 15, 2018","Queens, New York",20,5,0,0
UFC on ESPN 3: N'Gannou vs. Dos Santos,Dan Moret,32,Lightweight,155.5 lbs,"6'0"" (183cm)","72.5"" (184cm)","Mankato, Minnesota, United States",2 Losses,3,2010-12-11,"March 09, 2019","Mankato, Minnesota",15,5,0,0
UFC on ESPN 3: N'Gannou vs. Dos Santos,Justin Ledet,30,Light Heavyweight,205.0 lbs,"6'4"" (193cm)","80.0"" (203cm)","Rosharon, Texas, United States",2 Losses,6,2009-03-21,"February 02, 2019","Houston, Texas",12,2,0,1
UFC on ESPN 3: N'Gannou vs. Dos Santos,Dalcha Lungiambula,33,Heavyweight,203.7 lbs,"5'10"" (178cm)",N/A,Democratic Republic Of The Congo,5 Wins,1,2014-06-05,"June 23, 2018","Tableview, Cape Town, Western Cap, South Africa",9,1,0,0
UFC on ESPN 3: N'Gannou vs. Dos Santos,Emily Whitmire,28,Strawweight,116.0 lbs,"5'6"" (167cm)","63.0"" (160cm)",United States,2 Wins,4,2010-03-05,"February 17, 2019","Hillsboro, Oregon",8,6,0,0
UFC on ESPN 3: N'Gannou vs. Dos Santos,Amanda Ribas,25,Strawweight,122.6 lbs,"5'4"" (163cm)",N/A,Brazil,1 Win,1,2014-03-15,"May 21, 2016",Brazil,8,1,0,0
UFC on ESPN 3: N'Gannou vs. Dos Santos,Maurice Darnell Greene,32,Heavyweight,264.5 lbs,"6'7"" (201cm)","82.0"" (208cm)","Broadalbin, New York",2 Wins,3,2011-02-24,"March 09, 2019","Evanston, Illinois",10,2,0,1
UFC on ESPN 3: N'Gannou vs. Dos Santos,Júnior Albini,28,Heavyweight,265.5 lbs,"6'3"" (190cm)","74.0"" (188cm)","Paranagua, Parana, Brazil",3 Losses,5,2009-08-07,"February 02, 2019","Paranagua, Parana, Brazil",14,5,0,0
UFC 239: Jones vs. Santos,Jonathan Dwight Jones,31,Light Heavyweight,205.0 lbs,"6'4"" (194cm)","84.5"" (215cm)","Rochester, New York, United States",15 Wins,21,2008-04-12,"March 02, 2019","Albuquerque, New Mexico",24,1,0,1
UFC 239: Jones vs. Santos,Thiago Santos de Lima,35,Light Heavyweight,204.0 lbs,"6'0"" (183cm)","76.0"" (193cm)","Rio de Janeiro, Rio de Janeiro, Brazil",4 Wins,19,2010-12-10,"February 23, 2019","Rio de Janeiro, Rio de Janeiro, Brazil",21,6,0,0
UFC 239: Jones vs. Santos,Amanda Nunes,31,Featherweight,145.0 lbs,"5'7"" (170cm)","69.0"" (175cm)","Pojuca, Bahia, Brazil",8 Wins,12,2008-03-08,"December 29, 2018","Miami, Florida",17,4,0,0
UFC 239: Jones vs. Santos,Holly Holm,37,Featherweight,146.0 lbs,"5'8"" (173cm)","69.0"" (175cm)",United States,1 Win,10,2011-03-03,"June 09, 2018","Albuquerque, New Mexico",12,4,0,0
UFC 239: Jones vs. Santos,Luke Skyler Rockhold,34,Middleweight,185.0 lbs,"6'3"" (191cm)","77.0"" (196cm)","Santa Cruz, California, United States",1 Loss,10,2007-07-24,"February 10, 2018","San Jose, California",16,4,0,0
UFC 239: Jones vs. Santos,Jan Błachowicz,36,Light Heavyweight,205.0 lbs,"6'2"" (188cm)","78.0"" (198cm)","Cieszyn, Poland",1 Loss,12,2007-02-25,"February 23, 2019","Warsaw, Poland",23,8,0,0
UFC 239: Jones vs. Santos,Ben Askren,34,Welterweight,170.5 lbs,"5'11"" (181cm)","71.0"" (180cm)","Cedar Rapids, Iowa",19 Wins,2,2009-02-07,"March 02, 2019","Phoenix, Arizona",19,0,0,1
UFC 239: Jones vs. Santos,Jorge Masvidal,34,Welterweight,171.0 lbs,"5'11"" (180cm)","73.0"" (185cm)","Miami, Florida, United States",1 Win,17,2003-05-24,"March 16, 2019","Miami, Florida",33,13,0,0
UFC 239: Jones vs. Santos,Michael Keith Chiesa,31,Welterweight,170.5 lbs,"6'1"" (185cm)","75.5"" (192cm)",United States,1 Win,13,2008-06-20,"December 29, 2018","Spokane Valley, Washington",20,5,0,0
UFC 239: Jones vs. Santos,Diego J. Sanchez,37,Welterweight,170.0 lbs,"5'10"" (178cm)","72.0"" (183cm)","Albuquerque, New Mexico, United States",2 Wins,30,2002-06-21,"March 02, 2019","Albuquerque, New Mexico",29,11,0,0
UFC 239: Jones vs. Santos,Jack Marshman,29,Middleweight,188.0 lbs,"6'0"" (183cm)","73.0"" (185cm)",Wales,1 Win,7,2009-05-30,"March 16, 2019","Abertillery, Wales",24,9,0,0
UFC 239: Jones vs. Santos,Edmen Shahbazyan,21,Middleweight,184.5 lbs,"6'2"" (188cm)","74.0"" (188cm)",United States,10 Wins,3,2016-10-21,"March 02, 2019","Glendale, California",10,0,0,0
UFC 239: Jones vs. Santos,Sean O'Malley,24,Bantamweight,136.0 lbs,"5'11"" (180cm)","72.0"" (183cm)","Helena, Montana",15 Wins,3,2013-03-30,"March 03, 2018","Scottsdale, Arizona",19,2,0,0
UFC 239: Jones vs. Santos,Marlon Andres Vera Delgado,26,Bantamweight,135.5 lbs,"5'8"" (173cm)","70.5"" (179cm)","Chone, Manabi, Ecuador",3 Wins,12,2010-07-24,"March 23, 2019","Alburquerque, New Mexico",15,5,1,0
UFC 239: Jones vs. Santos,Ana Cláudia Dantas Gadelha,30,Strawweight,115.5 lbs,"5'4"" (163cm)","63.5"" (161cm)","Mossoro, Rio Grande do Norte, Brazil",1 Loss,10,2008-07-05,"December 08, 2018","Mossoro, Rio Grande do Norte, Brazil",16,4,0,0
UFC 239: Jones vs. Santos,Randa Markos-Thomas,33,Strawweight,116.0 lbs,"5'4"" (163cm)","63.5"" (161cm)",Iraq,1 Win,12,2009-09-19,"March 23, 2019","Montreal, Quebec, Canada",12,7,1,0
UFC 239: Jones vs. Santos,Gilbert Melendez,37,Featherweight,146.0 lbs,"5'9"" (176cm)","73.0"" (185cm)","Santa Ana, California, United States",4 Losses,7,2002-08-10,"September 09, 2017","San Francisco, California",24,7,0,0
UFC 239: Jones vs. Santos,Arnold Billy Allen,25,Featherweight,145.0 lbs,"5'9"" (175cm)","70.0"" (178cm)","Suffolk, England",7 Wins,6,2010-02-19,"March 16, 2019","Felixstowe, England",18,1,0,0
UFC 239: Jones vs. Santos,Ismail Naurdiev,22,Welterweight,170.0 lbs,"5'10"" (178cm)","74.0"" (188cm)","Grozny, Russia",3 Wins,2,2012-11-17,"February 23, 2019","Salzburg, Austria",18,2,0,0
UFC 239: Jones vs. Santos,Chance Rencountre,32,Welterweight,170.4 lbs,"6'2"" (188cm)","74.0"" (188cm)",United States,1 Win,3,2011-04-09,"January 19, 2019","Pawhuska, Oklahoma",21,3,0,0
UFC 239: Jones vs. Santos,Alejandro Perez,29,Bantamweight,136.0 lbs,"5'6"" (168cm)","67.0"" (170cm)","Aguascalientes, Mexico",1 Loss,11,2005-07-17,"March 02, 2019","Aguascalientes, Mexico",21,7,1,0
UFC 239: Jones vs. Santos,"宋亚东, Song Yadong",21,Bantamweight,136.0 lbs,"5'6"" (168cm)","67.0"" (170cm)","Harbin, Heilongjiang Province,China",6 Wins,4,2013-05-18,"November 24, 2018","Harbin, Heilongjiang Province, China",14,4,0,1
UFC 239: Jones vs. Santos,Julia Avila,31,Bantamweight,135.8 lbs,"5'7"" (170cm)","69.0"" (175cm)",United States,2 Wins,1,2012-01-27,"November 16, 2018","Oklahoma City, Oklahoma",8,1,0,0
UFC 239: Jones vs. Santos,Melissa Gatto,23,Bantamweight,N/A,"5'6"" (168cm)",N/A,"Campinas, Sao Paulo, Brazil",6 Wins,1,2016-12-10,"September 29, 2018","Toledo, Parana, Brazil",6,0,2,0
UFC on ESPN+ 13: De Randamie vs. Ladd,Aspen Ladd,24,Bantamweight,135.4 lbs,"5'6"" (168cm)","66.0"" (168cm)","Pioneer, California",9 Wins,4,2013-03-15,"May 18, 2019","Pioneer, California",16,1,0,0
UFC on ESPN+ 13: De Randamie vs. Ladd,Germaine de Randamie,35,Bantamweight,136.0 lbs,"5'10"" (177cm)","72.5"" (184cm)","Utrecht, Netherlands",4 Wins,7,2008-12-19,"November 10, 2018","San Jose, California",8,3,0,0
UFC on ESPN+ 13: De Randamie vs. Ladd,Urijah Christopher Faber,40,Bantamweight,136.0 lbs,"5'6"" (168cm)","67.0"" (170cm)","Isla Vista, California, United States",1 Win,17,2003-11-13,"December 17, 2016","Sacramento, California",34,10,0,0
UFC on ESPN+ 13: De Randamie vs. Ladd,Ricky Simón,26,Bantamweight,135.0 lbs,"5'6"" (168cm)","70.0"" (178cm)",United States,8 Wins,4,2011-10-15,"February 09, 2019","Vancouver, Washington",22,1,0,0
UFC on ESPN+ 13: De Randamie vs. Ladd,Beneil Dariush,30,Lightweight,156.0 lbs,"5'10"" (178cm)","72.0"" (183cm)","Urmia, Iran",2 Wins,16,2009-11-20,"March 09, 2019","Huntington Beach, California",16,4,1,0
UFC on ESPN+ 13: De Randamie vs. Ladd,Drakkar Klose,31,Lightweight,156.0 lbs,"5'8"" (173cm)","70.0"" (178cm)","South Haven, Michigan",2 Wins,6,2012-06-30,"December 15, 2018","Glendale, Arizona",10,1,1,0
UFC on ESPN+ 13: De Randamie vs. Ladd,Cezar Jesus Ferreira,34,Middleweight,185.5 lbs,"6'1"" (185cm)","78.0"" (198cm)","Ibitinga, Sao Paulo, Brazil",1 Loss,15,2007-04-29,"November 17, 2018","Boca Raton, Florida",13,7,0,0
UFC on ESPN+ 13: De Randamie vs. Ladd,Marvin Vettori,25,Middleweight,186.0 lbs,"6'0"" (183cm)","74.0"" (188cm)","Mezzocorona, Italy",1 Loss,6,2011-02-12,"April 14, 2018","Mezzocorona, Italy",13,6,1,0
UFC on ESPN+ 13: De Randamie vs. Ladd,Sara McMann,38,Bantamweight,135.5 lbs,"5'6"" (168cm)","66.0"" (168cm)","Takoma Park, Maryland, United States",2 Losses,11,2010-06-11,"February 24, 2018","Gaffney, South Carolina",13,5,0,0
UFC on ESPN+ 13: De Randamie vs. Ladd,Nicco Montaño,30,Flyweight,124.5 lbs,"5'5"" (165cm)","65.0"" (165cm)",United States,4 Wins,2,2013-06-15,"December 01, 2017","Durango, Colorado",9,2,0,0
UFC on ESPN+ 13: De Randamie vs. Ladd,Josh Emmett,34,Featherweight,145.8 lbs,"5'7"" (170cm)","70.0"" (178cm)",United States,1 Win,8,2011-07-30,"March 30, 2019","Sacramento, California",15,2,0,0
UFC on ESPN+ 13: De Randamie vs. Ladd,Mirsad Bektic,28,Featherweight,146.0 lbs,"5'8"" (173cm)","70.0"" (178cm)",Bosnia,2 Wins,8,2009-02-28,"June 09, 2018","Coconut Creek, Florida",22,1,0,0
UFC on ESPN+ 13: De Randamie vs. Ladd,Andre Givens Fili,28,Featherweight,145.5 lbs,"5'11"" (180cm)","74.0"" (188cm)","Federal Way, Washington, United States",1 Win,13,2009-12-12,"February 17, 2019","Sacramento, California",19,6,0,0
UFC on ESPN+ 13: De Randamie vs. Ladd,Sheymon da Silva Moraes,28,Featherweight,145.0 lbs,"5'8"" (173cm)","72.0"" (183cm)","Rio de Janeiro, Brazil",1 Loss,5,2012-03-17,"March 30, 2019","Los Angeles, California",11,3,0,0
UFC on ESPN+ 13: De Randamie vs. Ladd,Livia Renata Souza,28,Strawweight,115.5 lbs,"5'5"" (165cm)","63.0"" (160cm)","Araraquara, Sao Paulo, Brazil",4 Wins,3,2013-03-09,"February 02, 2019","Araraquara, Sao Paulo, Brazil",13,1,0,0
UFC on ESPN+ 13: De Randamie vs. Ladd,Brianna Van Buren,25,Strawweight,115.8 lbs,"5'0"" (152cm)","62.0"" (157cm)",United States,5 Wins,1,2010-02-26,"May 03, 2019","Gilroy, California",12,2,0,0
UFC on ESPN+ 13: De Randamie vs. Ladd,Darren Elkins,35,Featherweight,145.0 lbs,"5'10"" (178cm)","71.0"" (180cm)","Hobart, Indiana, United States",2 Losses,21,2007-01-24,"November 17, 2018","Portage, Indiana",25,7,0,0
UFC on ESPN+ 13: De Randamie vs. Ladd,Ryan Christopher Hall,34,Lightweight,154.0 lbs,"5'10"" (178cm)","71.0"" (180cm)","Arlington, Virginia, United States",3 Wins,4,2006-04-29,"December 29, 2018","Falls Church, Virginia, United States",7,1,0,0
UFC on ESPN+ 13: De Randamie vs. Ladd,Benito Lopez,25,Bantamweight,135.5 lbs,"5'11"" (180cm)","73.0"" (185cm)","Oroville, California",1 Loss,3,2012-04-14,"February 17, 2019","Oroville, California",16,1,0,0
UFC on ESPN+ 13: De Randamie vs. Ladd,Martin Day,30,Bantamweight,136.0 lbs,"5'10"" (178cm)","70.0"" (178cm)","Nagoya, Japan",1 Loss,2,2014-05-04,"November 24, 2018","Kailua, Honolulu County, Hawaii",12,3,0,0
UFC on ESPN+ 13: De Randamie vs. Ladd,Gianpiero Villante,33,Light Heavyweight,206.0 lbs,"6'2"" (188cm)","76.0"" (193cm)","Wantagh, New York, United States",1 Loss,16,2009-02-20,"February 23, 2019","Bellmore, New York",17,11,0,0
UFC on ESPN+ 13: De Randamie vs. Ladd,Michael Rodriguez,30,Light Heavyweight,203.5 lbs,"6'4"" (193cm)","82.5"" (210cm)","Boston, Massachusetts, United States",1 Win,3,2012-01-28,"December 15, 2018",Massachusetts,14,4,0,0
UFC on ESPN+ 13: De Randamie vs. Ladd,"刘平原, Pingyuan Liu",26,Bantamweight,135.0 lbs,"5'8"" (173cm)","72.0"" (183cm)","Jiaozuo, Henan, China",9 Wins,3,2010-10-30,"November 24, 2018","Henan, China",17,5,0,0
UFC on ESPN+ 13: De Randamie vs. Ladd,Jonathan Martinez,25,Bantamweight,136.0 lbs,"5'7"" (170cm)","69.5"" (177cm)",United States,1 Win,3,2012-09-21,"February 09, 2019","Plainview, Texas",16,4,0,0
UFC on ESPN+ 13: De Randamie vs. Ladd,Karl Roberson,28,Light Heavyweight,203.8 lbs,"6'1"" (185cm)","74.0"" (188cm)",United States,1 Loss,5,2013-04-20,"January 19, 2019","Neptune, New Jersey",10,2,0,0
UFC on ESPN+ 13: De Randamie vs. Ladd,Wellington Turman,22,Middleweight,N/A,"6'0"" (183cm)",N/A,"Curitiba, Parana, Brazil",4 Wins,1,2014-05-25,"April 19, 2019","Curitiba, Parana, Brazil",17,2,0,0
UFC on ESPN 4: Dos Anjos vs. Edwards,Rafael Souza dos Anjos,34,Welterweight,170.4 lbs,"5'8"" (173cm)","70.0"" (178cm)","Rio de Janeiro, Brazil",1 Win,28,2004-09-25,"May 18, 2019","Rio de Janeiro, Brazil",29,11,0,0
UFC on ESPN 4: Dos Anjos vs. Edwards,Leon Edwards,27,Welterweight,170.0 lbs,"6'0"" (183cm)","74.0"" (188cm)","Kingston, Jamaica",7 Wins,12,2011-03-19,"March 16, 2019","Birmingham, England",18,3,0,1
UFC on ESPN 4: Dos Anjos vs. Edwards,Elizabeth Marie Carmouche,35,Flyweight,125.0 lbs,"5'6"" (168cm)","66.0"" (168cm)",United States,2 Wins,10,2010-03-13,"February 23, 2019","San Diego, California",13,6,0,0
UFC on ESPN 4: Dos Anjos vs. Edwards,Roxanne Modafferi,36,Flyweight,125.0 lbs,"5'6"" (168cm)","69.0"" (175cm)","Wilmington, Delaware, United States",1 Win,6,2003-11-10,"April 20, 2019","Las Vegas, Nevada",23,15,0,0
UFC on ESPN 4: Dos Anjos vs. Edwards,Алексей Олейник,41,Heavyweight,237.0 lbs,"6'1"" (186cm)","80.0"" (203cm)","Kharkiv, Ukraine",1 Loss,10,1996-11-10,"April 20, 2019","Moscow, Russia",57,12,1,0
UFC on ESPN 4: Dos Anjos vs. Edwards,Walter Jermaine Harris,36,Heavyweight,258.0 lbs,"6'4"" (194cm)","81.0"" (206cm)","Homewood, Alabama",2 Wins,13,2009-01-09,"May 04, 2019","Homewood, Alabama",16,8,0,1
UFC on ESPN 4: Dos Anjos vs. Edwards,Raquel Pennington,30,Bantamweight,138.0 lbs,"5'7"" (170cm)","67.5"" (171cm)",United States,2 Losses,11,2009-02-21,"November 10, 2018","Colorado Springs, Colorado",16,8,0,0
UFC on ESPN 4: Dos Anjos vs. Edwards,Irene Aldana,31,Bantamweight,135.5 lbs,"5'9"" (175cm)","68.5"" (174cm)","Culiacan, Sinaloa, Mexico",3 Wins,6,2012-10-17,"May 11, 2019","Guadalajara, Jalisco, Mexico",10,4,0,0
