best_match_score,__id_left,__id_right,Event_left,Name_left,Age,Weight Class_left,Last Weight-In,Height_left,Reach_left,Born,Current Streak,UFC Competition,First Fight,Last Fight,Fight out of,Wins,Loss,Draws,No Contest,Concat_left,Event_right,Event Date,Event Location,Weight Class_right,Name_right,Height_right,Weight,Reach_right,STANCE,DOB,SLpM,Str. Acc.,SApM,Str. Def.,TD Avg,TD Acc,TD Def,Sub. Avg.,Win s,Los s,Concat_right
0.6000272857032142,13_left,11_right,UFC on ESPN+ 12: Moicano vs. Korean Zombie,Kevin Aguilar,30,Featherweight,145.0 lbs,"5'7"" (171cm)","73.0"" (185cm)","Winnsboro, Texas",9 Wins,3,2008-08-09,"March 30, 2019","Longview, Texas",29,4,0,0,UFC on ESPN+ 12: Moicano vs. Korean Zombie Kevin Aguilar,UFC Fight Night: Moicano vs. The Korean Zombie,"June 22, 2019","Greenville, South Carolina, USA",Featherweight,Kevin Aguilar,"5' 7""",145 lbs.,"72""",Orthodox,"Sep 07, 1988",4.31,37%,4.04,57%,0.0,0%,89%,0.0,17,1,UFC Fight Night: Moicano vs. The Korean Zombie Kevin Aguilar
0.20510057109851673,14_left,14_right,UFC on ESPN+ 12: Moicano vs. Korean Zombie,Matthew Charles Wiman,35,Lightweight,155.4 lbs,"5'10"" (178cm)","67.0"" (170cm)","Denver Colorado, United States",1 Win,16,2004-08-14,"November 22, 2014","Portland, Oregon",16,7,0,0,UFC on ESPN+ 12: Moicano vs. Korean Zombie Matthew Charles Wiman,UFC Fight Night: Moicano vs. The Korean Zombie,"June 22, 2019","Greenville, South Carolina, USA",Lightweight,Matt Wiman,"5' 10""",155 lbs.,"68""",Orthodox,"Sep 19, 1983",3.51,50%,3.24,54%,2.41,38%,63%,1.8,16,7,UFC Fight Night: Moicano vs. The Korean Zombie Matt Wiman
0.38457757430007167,15_left,15_right,UFC on ESPN+ 12: Moicano vs. Korean Zombie,Luis Antonio Peña,25,Featherweight,148.5 lbs,"6'3"" (191cm)","78.0"" (198cm)","Naples, Italy",1 Win,4,2014-05-31,"March 23, 2019","Gilroy, California",14,3,0,0,UFC on ESPN+ 12: Moicano vs. Korean Zombie Luis Antonio Peña,UFC Fight Night: Moicano vs. The Korean Zombie,"June 22, 2019","Greenville, South Carolina, USA",Lightweight,Luis Pena,"6' 3""",155 lbs.,"76""",Southpaw,"Jul 05, 1993",2.48,37%,2.74,52%,1.34,23%,46%,0.5,6,1,UFC Fight Night: Moicano vs. The Korean Zombie Luis Pena
0.6058969943384035,16_left,16_right,UFC on ESPN+ 12: Moicano vs. Korean Zombie,Allen Crowder,29,Heavyweight,252.6 lbs,"6'2"" (188cm)","76.5"" (194cm)",United States,1 Win,3,2011-11-12,"January 19, 2019","North Carolina, United States",17,4,0,1,UFC on ESPN+ 12: Moicano vs. Korean Zombie Allen Crowder,UFC Fight Night: Moicano vs. The Korean Zombie,"June 22, 2019","Greenville, South Carolina, USA",Heavyweight,Allen Crowder,"6' 3""",245 lbs.,"76""",Orthodox,"Nov 08, 1989",2.97,51%,2.81,58%,1.86,33%,100%,1.2,10,3,UFC Fight Night: Moicano vs. The Korean Zombie Allen Crowder
0.8374919738994806,17_left,17_right,UFC on ESPN+ 12: Moicano vs. Korean Zombie,Jairzinho Rozenstruik,31,Heavyweight,241.5 lbs,"6'4"" (193cm)","78.0"" (198cm)","Paramaribo, Suriname",7 Wins,2,2012-05-26,"February 02, 2019","Paramaribo, Suriname",7,0,0,0,UFC on ESPN+ 12: Moicano vs. Korean Zombie Jairzinho Rozenstruik,UFC Fight Night: Moicano vs. The Korean Zombie,"June 22, 2019","Greenville, South Carolina, USA",Heavyweight,Jairzinho Rozenstruik,"6' 2""",242 lbs.,"78""",Orthodox,"Mar 17, 1988",3.22,70%,3.05,33%,0.0,0%,66%,0.0,7,0,UFC Fight Night: Moicano vs. The Korean Zombie Jairzinho Rozenstruik
0.39994685623465487,18_left,19_right,UFC on ESPN+ 12: Moicano vs. Korean Zombie,Molly McCann-Pearson,29,Flyweight,126.0 lbs,"5'4"" (163cm)","62.0"" (157cm)","Liverpool, England",1 Win,3,2013-11-09,"March 16, 2019","Bournemouth, England",11,2,0,0,UFC on ESPN+ 12: Moicano vs. Korean Zombie Molly McCann-Pearson,UFC Fight Night: Moicano vs. The Korean Zombie,"June 22, 2019","Greenville, South Carolina, USA",Women's Flyweight,Molly McCann,"5' 4""",125 lbs.,"62""",Orthodox,"May 04, 1990",5.3,50%,4.17,67%,1.36,18%,50%,1.4,8,2,UFC Fight Night: Moicano vs. The Korean Zombie Molly McCann
0.6159313275272029,19_left,18_right,UFC on ESPN+ 12: Moicano vs. Korean Zombie,Ariane Lipski,25,Flyweight,125.2 lbs,"5'6"" (168cm)","67.0"" (170cm)","Curitiba, Parana, Brazil",1 Loss,2,2013-11-03,"January 19, 2019","Curitiba, Parana, Brazil",11,4,0,0,UFC on ESPN+ 12: Moicano vs. Korean Zombie Ariane Lipski,UFC Fight Night: Moicano vs. The Korean Zombie,"June 22, 2019","Greenville, South Carolina, USA",Women's Flyweight,Ariane Lipski,"5' 6""",125 lbs.,--,Orthodox,"Jan 26, 1994",3.53,34%,5.67,50%,1.0,100%,66%,0.0,11,4,UFC Fight Night: Moicano vs. The Korean Zombie Ariane Lipski
0.7221739297745349,20_left,20_right,UFC on ESPN+ 12: Moicano vs. Korean Zombie,Deron Winn,30,Light Heavyweight,205.6 lbs,"5'5"" (165cm)","71.0"" (180cm)","Liberty, Missouri",5 Wins,1,2017-03-18,"November 24, 2018","Fresno, California",5,0,0,0,UFC on ESPN+ 12: Moicano vs. Korean Zombie Deron Winn,UFC Fight Night: Moicano vs. The Korean Zombie,"June 22, 2019","Greenville, South Carolina, USA",Middleweight,Deron Winn,"5' 7""",185 lbs.,--,Orthodox,"Jun 13, 1989",0.0,0%,0.0,0%,0.0,0%,0%,0.0,5,0,UFC Fight Night: Moicano vs. The Korean Zombie Deron Winn
0.6058969943384035,21_left,21_right,UFC on ESPN+ 12: Moicano vs. Korean Zombie,Eric Spicely,32,Middleweight,186.0 lbs,"6'2"" (188cm)","73.0"" (185cm)","Stoughton, Massachusetts",2 Wins,7,2007-10-26,"March 29, 2019","Olneyville, Rhode Island",14,5,0,0,UFC on ESPN+ 12: Moicano vs. Korean Zombie Eric Spicely,UFC Fight Night: Moicano vs. The Korean Zombie,"June 22, 2019","Greenville, South Carolina, USA",Middleweight,Eric Spicely,"6' 1""",185 lbs.,"73""",Orthodox,"Sep 29, 1986",2.01,40%,3.02,58%,1.95,20%,0%,1.5,12,5,UFC Fight Night: Moicano vs. The Korean Zombie Eric Spicely
0.5799586193256154,22_left,22_right,UFC on ESPN+ 12: Moicano vs. Korean Zombie,Andre Ewell,31,Bantamweight,135.5 lbs,"5'11"" (180cm)","75.0"" (191cm)",United States,1 Loss,3,2015-08-15,"December 29, 2018","Riverside, California",14,5,0,0,UFC on ESPN+ 12: Moicano vs. Korean Zombie Andre Ewell,UFC Fight Night: Moicano vs. The Korean Zombie,"June 22, 2019","Greenville, South Carolina, USA",Bantamweight,Andre Ewell,"5' 11""",135 lbs.,"76""",Southpaw,"Jan 21, 1988",2.33,37%,3.6,51%,0.51,100%,37%,0.0,14,5,UFC Fight Night: Moicano vs. The Korean Zombie Andre Ewell
0.4957550300179007,23_left,23_right,UFC on ESPN+ 12: Moicano vs. Korean Zombie,Anderson Berlingeri dos Santos,33,Featherweight,144.5 lbs,"5'7"" (170cm)","70.0"" (178cm)","Sao Paulo, Sao Paulo, Brazil",1 Loss,2,2011-09-14,"November 17, 2018","Sao Paulo, Sao Paulo, Brazil",20,7,0,0,UFC on ESPN+ 12: Moicano vs. Korean Zombie Anderson Berlingeri dos Santos,UFC Fight Night: Moicano vs. The Korean Zombie,"June 22, 2019","Greenville, South Carolina, USA",Bantamweight,Anderson Dos Santos,"5' 7""",135 lbs.,"67""",Orthodox,"Jul 24, 1985",3.07,27%,5.6,54%,0.0,0%,80%,1.0,20,7,UFC Fight Night: Moicano vs. The Korean Zombie Anderson Dos Santos
0.2146943331344249,24_left,25_right,UFC on ESPN 3: N'Gannou vs. Dos Santos,Junior dos Santos Almeida,35,Heavyweight,246.5 lbs,"6'4"" (193cm)","77.0"" (196cm)","Caçador, Santa Catarina, Brazil",3 Wins,20,2006-07-16,"March 09, 2019","Salvador, Bahia, Brazil",21,5,0,0,UFC on ESPN 3: N'Gannou vs. Dos Santos Junior dos Santos Almeida,UFC Fight Night: Ngannou vs. Dos Santos,"June 29, 2019","Minneapolis, Minnesota, USA",Heavyweight,Junior Dos Santos,"6' 4""",238 lbs.,"77""",Orthodox,"Jan 30, 1984",4.76,48%,3.07,58%,0.34,55%,80%,0.1,21,5,UFC Fight Night: Ngannou vs. Dos Santos Junior Dos Santos
0.1390341761090838,25_left,24_right,UFC on ESPN 3: N'Gannou vs. Dos Santos,Francis Zavier N'Gannou,32,Heavyweight,258.0 lbs,"6'4"" (193cm)","83.0"" (211cm)","Batie, Cameroon",2 Wins,11,2013-11-30,"February 17, 2019","Paris, France",13,3,0,0,UFC on ESPN 3: N'Gannou vs. Dos Santos Francis Zavier N'Gannou,UFC Fight Night: Ngannou vs. Dos Santos,"June 29, 2019","Minneapolis, Minnesota, USA",Heavyweight,Francis Ngannou,"6' 4""",250 lbs.,"83""",Orthodox,"Sep 05, 1986",2.05,37%,1.94,48%,0.0,0%,71%,0.5,13,3,UFC Fight Night: Ngannou vs. Dos Santos Francis Ngannou
0.05763953944068956,26_left,26_right,UFC on ESPN 3: N'Gannou vs. Dos Santos,Jussier da Silva,34,Flyweight,126.0 lbs,"5'5"" (165cm)","67.0"" (170cm)","Natal, Rio Grande do Norte, Brazil",4 Wins,14,2005-05-13,"March 23, 2019","Natal, Rio Grande do Norte, Brazil",23,5,0,0,UFC on ESPN 3: N'Gannou vs. Dos Santos Jussier da Silva,UFC Fight Night: Ngannou vs. Dos Santos,"June 29, 2019","Minneapolis, Minnesota, USA",Flyweight,Jussier Formiga,"5' 5""",125 lbs.,"67""",Orthodox,"Apr 14, 1985",1.37,39%,2.05,66%,1.97,40%,86%,0.6,23,5,UFC Fight Night: Ngannou vs. Dos Santos Jussier Formiga
0.4557888859948959,27_left,27_right,UFC on ESPN 3: N'Gannou vs. Dos Santos,Joseph Rolando Benavidez,34,Flyweight,124.4 lbs,"5'4"" (163cm)","65.0"" (165cm)","San Antonio, Texas, United States",2 Wins,18,2006-06-03,"January 19, 2019","Sacramento, California",27,5,0,0,UFC on ESPN 3: N'Gannou vs. Dos Santos Joseph Rolando Benavidez,UFC Fight Night: Ngannou vs. Dos Santos,"June 29, 2019","Minneapolis, Minnesota, USA",Flyweight,Joseph Benavidez,"5' 4""",125 lbs.,"65""",Southpaw,"Jul 31, 1984",3.41,33%,2.55,63%,1.58,31%,65%,0.7,27,5,UFC Fight Night: Ngannou vs. Dos Santos Joseph Benavidez
0.23980441470234798,28_left,28_right,UFC on ESPN 3: N'Gannou vs. Dos Santos,Demian A. Baptista Maia,41,Welterweight,170.5 lbs,"6'1"" (185cm)","72.0"" (183cm)","Sao Paulo, Sao Paulo, Brazil",1 Win,30,2001-09-21,"February 02, 2019","Sao Paulo, Sao Paulo, Brazil",26,9,0,0,UFC on ESPN 3: N'Gannou vs. Dos Santos Demian A. Baptista Maia,UFC Fight Night: Ngannou vs. Dos Santos,"June 29, 2019","Minneapolis, Minnesota, USA",Welterweight,Demian Maia,"6' 1""",170 lbs.,"72""",Southpaw,"Nov 06, 1977",1.77,42%,1.94,64%,2.56,25%,65%,1.1,26,9,UFC Fight Night: Ngannou vs. Dos Santos Demian Maia
0.4047404294141847,29_left,29_right,UFC on ESPN 3: N'Gannou vs. Dos Santos,Anthony Martin,29,Welterweight,170.5 lbs,"6'0"" (183cm)","73.5"" (187cm)","Palos Heights, Illinois, United States",4 Wins,13,2011-05-07,"March 09, 2019","Boston, Massachusetts",18,4,0,0,UFC on ESPN 3: N'Gannou vs. Dos Santos Anthony Martin,UFC Fight Night: Ngannou vs. Dos Santos,"June 29, 2019","Minneapolis, Minnesota, USA",Welterweight,Anthony Rocco Martin,"6' 0""",170 lbs.,"73""",Orthodox,"Dec 11, 1989",2.82,38%,2.72,59%,0.82,25%,50%,1.1,16,4,UFC Fight Night: Ngannou vs. Dos Santos Anthony Rocco Martin
0.029347621297680586,30_left,31_right,UFC on ESPN 3: N'Gannou vs. Dos Santos,Vincent Alan Pichel,36,Lightweight,155.8 lbs,"5'10"" (178cm)","72.0"" (183cm)","Lancaster, California",1 Loss,7,2008-09-19,"June 01, 2018","Simi Valley, California",11,3,0,0,UFC on ESPN 3: N'Gannou vs. Dos Santos Vincent Alan Pichel,UFC Fight Night: Ngannou vs. Dos Santos,"June 29, 2019","Minneapolis, Minnesota, USA",Lightweight,Vinc Pichel,"5' 10""",155 lbs.,"72""",Orthodox,"Nov 23, 1982",3.12,42%,2.67,54%,4.25,62%,20%,0.2,11,2,UFC Fight Night: Ngannou vs. Dos Santos Vinc Pichel
0.46024704410396544,31_left,30_right,UFC on ESPN 3: N'Gannou vs. Dos Santos,Roosevelt Roberts,25,Lightweight,155.0 lbs,"6'1"" (185cm)","73.0"" (185cm)","Miami, Florida",14 Wins,3,2014-04-12,"April 27, 2019","Lathrop, California",14,1,0,0,UFC on ESPN 3: N'Gannou vs. Dos Santos Roosevelt Roberts,UFC Fight Night: Ngannou vs. Dos Santos,"June 29, 2019","Minneapolis, Minnesota, USA",Lightweight,Roosevelt Roberts,"6' 2""",155 lbs.,"73""",Orthodox,"Feb 11, 1994",3.88,62%,2.0,55%,2.77,62%,66%,1.1,8,0,UFC Fight Night: Ngannou vs. Dos Santos Roosevelt Roberts
-0.05135395091798486,32_left,32_right,UFC on ESPN 3: N'Gannou vs. Dos Santos,Andrew Martin Dober,30,Lightweight,156.0 lbs,"5'8"" (173cm)","70.0"" (178cm)",United States,1 Loss,13,2006-09-15,"March 09, 2019","Denver, Colorado",29,9,0,1,UFC on ESPN 3: N'Gannou vs. Dos Santos Andrew Martin Dober,UFC Fight Night: Ngannou vs. Dos Santos,"June 29, 2019","Minneapolis, Minnesota, USA",Lightweight,Drew Dober,"5' 8""",155 lbs.,"70""",Southpaw,"Oct 19, 1988",4.33,39%,4.14,53%,0.97,17%,60%,0.1,20,9,UFC Fight Night: Ngannou vs. Dos Santos Drew Dober
0.32408735439036856,33_left,33_right,UFC on ESPN 3: N'Gannou vs. Dos Santos,Marco Polo Reyes,34,Lightweight,155.0 lbs,"5'11"" (180cm)","71.3"" (181cm)",Mexico,1 Loss,7,2009-06-12,"February 23, 2019","Tepic, Nayarit, Mexico",8,5,0,0,UFC on ESPN 3: N'Gannou vs. Dos Santos Marco Polo Reyes,UFC Fight Night: Ngannou vs. Dos Santos,"June 29, 2019","Minneapolis, Minnesota, USA",Lightweight,Polo Reyes,"5' 11""",155 lbs.,"71""",,"Nov 07, 1984",6.13,36%,5.21,61%,0.0,0%,38%,0.0,8,6,UFC Fight Night: Ngannou vs. Dos Santos Polo Reyes
0.4343086690911773,34_left,35_right,UFC on ESPN 3: N'Gannou vs. Dos Santos,Paul Craig,31,Light Heavyweight,205.0 lbs,"6'4"" (193cm)","76.0"" (193cm)","Airdrie, Scotland",1 Win,7,2012-04-28,"March 30, 2019","Coatbridge, Scotland",12,3,0,0,UFC on ESPN 3: N'Gannou vs. Dos Santos Paul Craig,UFC Fight Night: Ngannou vs. Dos Santos,"June 29, 2019","Minneapolis, Minnesota, USA",Light Heavyweight,Paul Craig,"6' 3""",205 lbs.,"76""",Orthodox,"Nov 27, 1987",1.91,45%,2.82,45%,1.74,19%,50%,1.5,11,3,UFC Fight Night: Ngannou vs. Dos Santos Paul Craig
0.3600600625919561,35_left,34_right,UFC on ESPN 3: N'Gannou vs. Dos Santos,Alonzo T. Menifield,31,Light Heavyweight,204.6 lbs,"6'1"" (185cm)","76.0"" (193cm)",United States,10 Wins,2,2014-05-09,"January 19, 2019",Texas,10,0,0,0,UFC on ESPN 3: N'Gannou vs. Dos Santos Alonzo T. Menifield,UFC Fight Night: Ngannou vs. Dos Santos,"June 29, 2019","Minneapolis, Minnesota, USA",Light Heavyweight,Alonzo Menifield,"6' 0""",205 lbs.,"76""",Orthodox,"Oct 18, 1987",5.98,51%,1.96,50%,0.0,0%,77%,0.0,8,0,UFC Fight Night: Ngannou vs. Dos Santos Alonzo Menifield
0.329957063025558,36_left,37_right,UFC on ESPN 3: N'Gannou vs. Dos Santos,Ricardo Lucas Ramos,23,Bantamweight,135.5 lbs,"5'9"" (175cm)","72.0"" (183cm)","Campinas, São Paulo, Brazil",1 Loss,5,2012-05-19,"February 02, 2019","Campinas, São Paulo, Brazil",12,2,0,0,UFC on ESPN 3: N'Gannou vs. Dos Santos Ricardo Lucas Ramos,UFC Fight Night: Ngannou vs. Dos Santos,"June 29, 2019","Minneapolis, Minnesota, USA",Bantamweight,Ricardo Ramos,"5' 9""",135 lbs.,"72""",Orthodox,"Aug 01, 1995",3.22,42%,3.51,56%,1.35,50%,72%,0.7,12,2,UFC Fight Night: Ngannou vs. Dos Santos Ricardo Ramos
-0.27737275539933215,37_left,25_right,UFC on ESPN 3: N'Gannou vs. Dos Santos,Journey Newson,30,Bantamweight,136.0 lbs,"5'5"" (165cm)",,United States,6 Wins,1,2013-01-19,"May 09, 2019",Oregon,11,2,0,0,UFC on ESPN 3: N'Gannou vs. Dos Santos Journey Newson,UFC Fight Night: Ngannou vs. Dos Santos,"June 29, 2019","Minneapolis, Minnesota, USA",Heavyweight,Junior Dos Santos,"6' 4""",238 lbs.,"77""",Orthodox,"Jan 30, 1984",4.76,48%,3.07,58%,0.34,55%,80%,0.1,21,5,UFC Fight Night: Ngannou vs. Dos Santos Junior Dos Santos
0.35002572940315674,38_left,39_right,UFC on ESPN 3: N'Gannou vs. Dos Santos,Vinicius Alves Moreira,30,Light Heavyweight,205.6 lbs,"6'3"" (191cm)","75.5"" (192cm)",Brazil,1 Loss,2,2015-10-11,"January 19, 2019","Brasilia, Federal District, Brazil",9,2,0,0,UFC on ESPN 3: N'Gannou vs. Dos Santos Vinicius Alves Moreira,UFC Fight Night: Ngannou vs. Dos Santos,"June 29, 2019","Minneapolis, Minnesota, USA",Middleweight,Vinicius Moreira,"6' 4""",185 lbs.,--,Orthodox,"Feb 28, 1989",3.57,60%,5.0,40%,3.57,27%,0%,2.4,9,2,UFC Fight Night: Ngannou vs. Dos Santos Vinicius Moreira
